Date,Open,High,Low,Close,Volume
26-May-17,305.50,310.00,301.36,302.40,2858743
25-May-17,282.26,293.84,282.26,293.04,2136975
24-May-17,290.50,290.98,277.68,280.51,2026063
23-May-17,296.39,296.40,290.00,290.55,925977
22-May-17,295.32,298.84,294.08,294.94,612392
19-May-17,298.01,299.66,292.91,294.08,709177
18-May-17,293.11,299.70,292.27,297.82,887901
17-May-17,292.11,293.20,289.68,292.09,754477
16-May-17,295.49,295.99,293.20,293.33,696846
15-May-17,298.41,299.88,295.18,295.41,578391
12-May-17,299.65,299.65,296.18,297.55,469271
11-May-17,298.54,300.42,296.02,299.91,505037
10-May-17,299.42,299.92,297.55,299.47,434322
9-May-17,298.06,301.40,297.62,299.57,592334
8-May-17,296.00,298.13,294.04,297.54,532904
5-May-17,292.92,296.17,291.65,295.47,477242
4-May-17,290.01,292.38,289.48,292.21,327541
3-May-17,288.83,291.50,288.22,290.36,457756
2-May-17,283.28,288.72,283.28,288.59,516270
1-May-17,281.78,283.84,281.20,283.22,493894
28-Apr-17,282.44,282.80,279.54,281.44,348809
27-Apr-17,279.71,283.66,277.94,281.68,679207
26-Apr-17,278.11,280.98,277.03,279.69,488853
25-Apr-17,279.47,281.19,276.64,277.99,512893
24-Apr-17,282.48,283.00,276.40,278.21,707191
21-Apr-17,278.78,281.03,277.55,279.50,507275
20-Apr-17,279.87,281.39,277.97,278.73,560266
19-Apr-17,282.00,282.42,276.02,279.46,1042008
18-Apr-17,282.75,284.18,282.00,282.86,291893
17-Apr-17,283.49,284.73,282.21,283.17,325869
13-Apr-17,284.21,285.83,282.68,282.68,330321
12-Apr-17,285.71,286.18,283.03,283.78,336712
11-Apr-17,286.74,287.08,283.31,286.65,356930
10-Apr-17,287.46,287.46,285.30,286.59,370013
7-Apr-17,285.21,286.99,283.75,284.50,343323
6-Apr-17,282.65,285.02,282.21,284.96,504863
5-Apr-17,281.69,284.41,280.49,281.65,406049
4-Apr-17,282.00,284.04,280.85,281.57,397907
3-Apr-17,285.51,285.98,281.92,282.03,644353
31-Mar-17,285.24,285.96,283.76,285.23,433911
