Date,Open,High,Low,Close,Volume
31-May-17,35.00,35.20,34.20,34.79,6505220
30-May-17,35.08,35.20,34.60,35.05,3542856
26-May-17,34.92,35.19,34.40,35.13,4714487
25-May-17,34.73,35.73,34.05,34.92,7859598
24-May-17,34.45,34.80,34.28,34.74,3389988
23-May-17,35.35,35.41,34.25,34.32,3581487
22-May-17,35.21,35.63,35.00,35.24,5288713
19-May-17,33.92,35.33,33.88,35.20,6792275
18-May-17,33.63,34.21,33.44,33.99,4965917
17-May-17,33.57,34.03,33.50,33.65,5896732
16-May-17,34.07,34.58,33.68,33.87,7243880
15-May-17,34.57,34.70,33.60,33.76,6796990
12-May-17,34.50,34.70,34.24,34.61,4389358
11-May-17,34.85,35.12,34.43,34.52,5708309
10-May-17,35.69,35.70,34.50,34.95,10787854
9-May-17,36.30,36.45,35.90,36.23,4631342
8-May-17,36.79,36.91,35.94,36.41,6174350
5-May-17,37.10,37.22,36.11,36.82,8939374
4-May-17,37.00,38.29,35.20,36.46,23110075
3-May-17,44.12,44.12,39.13,39.26,12070941
2-May-17,42.82,43.07,42.06,42.46,3957031
1-May-17,42.63,43.03,42.30,42.60,3122816
28-Apr-17,43.36,43.36,42.43,42.56,6424823
27-Apr-17,43.10,43.67,43.10,43.31,3815240
26-Apr-17,43.05,43.50,43.04,43.38,4467189
25-Apr-17,42.82,43.23,42.74,42.95,3323125
24-Apr-17,43.57,43.98,42.68,42.75,3963759
21-Apr-17,44.31,44.44,43.03,43.10,2824788
20-Apr-17,44.45,44.76,44.25,44.33,2148672
19-Apr-17,44.18,45.00,44.18,44.31,3314682
18-Apr-17,43.72,44.21,43.45,44.09,1955463
17-Apr-17,43.77,44.10,43.66,43.96,2287015
13-Apr-17,44.54,44.66,43.76,43.77,2033672
12-Apr-17,44.62,44.93,44.13,44.34,2193110
11-Apr-17,44.92,45.13,44.36,44.79,2595230
10-Apr-17,45.52,45.59,44.64,44.83,3248343
7-Apr-17,45.59,45.59,44.86,45.27,2719858
6-Apr-17,45.24,45.61,44.42,45.58,4051990
5-Apr-17,45.82,46.02,45.22,45.32,2746325
4-Apr-17,45.78,45.94,45.19,45.55,2398432
3-Apr-17,46.61,46.70,45.70,45.71,4786905
31-Mar-17,46.26,46.72,46.04,46.62,5201405
30-Mar-17,45.23,46.38,45.20,46.36,4677665
29-Mar-17,44.89,45.36,44.79,45.30,3141898
28-Mar-17,44.43,45.26,44.11,44.91,4502297
27-Mar-17,43.55,44.44,42.55,44.31,4425941
24-Mar-17,43.13,43.52,42.73,43.06,3699654
23-Mar-17,42.65,43.20,42.49,42.96,2469369
22-Mar-17,42.28,42.76,42.00,42.57,3215510
21-Mar-17,43.14,43.22,42.04,42.10,2979497
20-Mar-17,42.98,43.42,42.59,42.87,3344922
17-Mar-17,44.10,44.12,43.34,43.40,5573065
16-Mar-17,43.96,44.15,43.78,44.04,2823406
15-Mar-17,43.57,44.08,43.25,43.96,3685393
14-Mar-17,43.15,43.55,42.87,43.36,2369287
13-Mar-17,43.72,43.89,43.10,43.15,3497055
10-Mar-17,44.26,44.50,43.44,43.73,4597720
9-Mar-17,43.89,44.47,43.62,44.44,5638202
8-Mar-17,43.19,44.03,43.15,44.00,6047520
7-Mar-17,42.13,43.15,42.07,42.93,5958200
6-Mar-17,42.09,42.43,41.80,42.19,2735245
3-Mar-17,42.14,42.62,41.73,42.31,3672165
2-Mar-17,43.84,43.84,42.10,42.12,6928189
1-Mar-17,43.79,44.00,43.25,43.76,3329457
28-Feb-17,43.70,43.78,43.33,43.45,3077908
27-Feb-17,43.92,43.96,43.40,43.50,2778126
24-Feb-17,43.84,44.05,43.10,43.89,2690414
23-Feb-17,44.54,44.69,43.56,43.86,3341514
22-Feb-17,44.35,44.75,44.27,44.51,3338751
21-Feb-17,43.91,44.76,43.75,44.70,3423451
17-Feb-17,44.09,44.28,43.46,43.99,3286468
16-Feb-17,44.75,44.80,43.91,44.16,3283384
15-Feb-17,44.06,44.71,44.06,44.66,4021106
14-Feb-17,43.37,44.42,43.02,44.25,6119258
13-Feb-17,43.66,43.75,43.26,43.45,4105522
10-Feb-17,43.86,44.25,43.22,43.65,6258805
9-Feb-17,44.65,45.00,42.99,43.89,14598275
8-Feb-17,41.67,42.24,41.40,42.07,4087979
7-Feb-17,41.94,42.10,41.53,41.67,2593252
6-Feb-17,41.68,42.30,41.58,41.82,2951189
3-Feb-17,41.58,42.08,41.58,41.90,2601233
2-Feb-17,41.54,41.74,41.38,41.58,2523001
1-Feb-17,42.18,42.50,41.41,41.65,3164620
31-Jan-17,42.40,42.58,41.81,42.14,4849765
30-Jan-17,42.25,42.50,41.80,42.46,4507022
27-Jan-17,41.96,42.21,41.58,41.97,3432715
26-Jan-17,41.02,42.06,40.96,41.85,4514906
25-Jan-17,41.29,41.65,40.78,40.99,3411171
24-Jan-17,40.46,41.17,40.18,41.11,3661727
23-Jan-17,40.20,40.41,39.80,40.32,3902575
20-Jan-17,40.02,40.43,39.56,40.23,6330731
19-Jan-17,39.73,40.21,38.94,39.80,5876377
18-Jan-17,38.90,39.84,38.79,39.76,5689258
17-Jan-17,38.54,38.87,38.48,38.69,3414910
13-Jan-17,38.54,38.88,38.17,38.70,3001769
12-Jan-17,38.77,39.02,38.37,38.53,3140673
11-Jan-17,38.55,39.34,38.28,38.90,7388492
10-Jan-17,38.54,39.02,38.10,38.40,4369066
9-Jan-17,38.08,38.94,38.01,38.34,5021063
6-Jan-17,37.98,38.10,37.22,37.79,4167326
5-Jan-17,36.94,37.83,36.76,37.48,5433241
4-Jan-17,35.92,37.04,35.85,36.60,5208353
3-Jan-17,35.50,36.11,35.50,35.90,4696627
30-Dec-16,35.40,35.73,35.00,35.10,2542744
29-Dec-16,35.50,35.70,35.20,35.28,1824743
28-Dec-16,35.89,35.96,35.46,35.52,2008646
27-Dec-16,35.06,36.15,35.03,35.79,4023515
23-Dec-16,35.09,35.48,34.86,35.15,2102785
22-Dec-16,35.11,35.30,34.69,35.15,3630943
21-Dec-16,34.46,35.30,34.44,35.25,4045317
20-Dec-16,34.51,34.71,34.36,34.63,2227735
19-Dec-16,35.20,35.38,34.29,34.49,3749212
16-Dec-16,35.15,36.32,34.92,35.22,7332905
15-Dec-16,34.91,35.12,34.60,34.91,4900668
14-Dec-16,34.95,35.14,34.58,34.60,4827378
13-Dec-16,34.38,35.56,33.94,34.96,6635990
12-Dec-16,36.55,37.21,34.86,34.99,14901686
9-Dec-16,38.75,39.49,38.25,38.62,3251687
8-Dec-16,38.10,38.94,37.78,38.80,4834321
7-Dec-16,36.46,38.27,36.45,38.01,4700765
6-Dec-16,36.63,36.80,36.38,36.54,3020229
5-Dec-16,36.83,36.85,36.44,36.63,3927307
2-Dec-16,37.20,37.45,36.32,36.52,2542698
1-Dec-16,37.47,37.94,37.13,37.26,3677662
30-Nov-16,37.00,37.75,37.00,37.48,4317147
29-Nov-16,36.73,37.18,36.63,36.95,3379995
28-Nov-16,37.46,37.82,36.75,36.79,2223075
25-Nov-16,36.68,37.73,36.26,37.64,1324504
23-Nov-16,37.16,37.46,36.94,37.25,1751484
22-Nov-16,37.36,37.64,37.20,37.23,4249240
21-Nov-16,37.82,38.23,37.19,37.21,2711424
18-Nov-16,38.58,38.78,37.71,37.77,2745200
17-Nov-16,38.41,38.80,38.31,38.61,2211855
16-Nov-16,38.59,38.94,38.43,38.58,2089016
15-Nov-16,38.68,39.93,38.08,38.61,2872272
14-Nov-16,38.33,39.02,38.21,38.86,2209592
11-Nov-16,37.90,38.49,37.78,38.42,2826072
10-Nov-16,37.90,38.60,37.69,38.01,3421033
9-Nov-16,36.25,38.24,36.00,37.98,4043226
8-Nov-16,37.56,37.62,36.92,37.35,3430915
7-Nov-16,37.31,39.33,36.82,37.56,2921430
4-Nov-16,36.35,37.33,36.35,36.56,3315860
3-Nov-16,36.00,36.95,35.89,36.68,3069062
2-Nov-16,36.63,36.83,35.65,35.87,3799125
1-Nov-16,37.56,37.78,36.36,36.68,3127208
31-Oct-16,37.74,37.97,37.35,37.56,2817351
28-Oct-16,37.74,38.01,37.45,37.60,2272420
27-Oct-16,37.80,37.90,37.31,37.72,3003707
