Date,Open,High,Low,Close,Volume
31-May-17,30.24,30.38,30.02,30.26,8448313
30-May-17,29.80,29.96,29.76,29.86,8576714
26-May-17,29.71,29.99,29.70,29.98,7251414
25-May-17,29.92,29.98,29.83,29.91,5698452
24-May-17,29.60,29.67,29.52,29.63,3408379
23-May-17,29.62,29.66,29.48,29.50,3405983
22-May-17,29.57,29.80,29.55,29.62,5995095
19-May-17,29.13,29.21,29.04,29.18,4601768
18-May-17,28.98,29.10,28.85,29.01,5801816
17-May-17,28.98,29.19,28.83,28.84,7213333
16-May-17,28.78,28.91,28.56,28.69,6734544
15-May-17,27.47,27.67,27.42,27.58,2741920
12-May-17,27.50,27.65,27.39,27.58,5331663
11-May-17,26.94,27.04,26.87,26.94,3743041
10-May-17,27.08,27.27,27.02,27.13,4290069
9-May-17,26.87,26.96,26.72,26.95,4631443
8-May-17,27.23,27.23,26.88,26.96,2520933
5-May-17,26.98,27.02,26.87,27.01,4542494
4-May-17,26.58,26.77,26.45,26.75,3008398
3-May-17,26.69,26.73,26.48,26.54,3483818
2-May-17,26.41,26.55,26.37,26.50,3610410
1-May-17,26.24,26.25,26.13,26.21,2580009
28-Apr-17,26.00,26.22,25.90,26.19,3915477
27-Apr-17,26.52,26.58,26.44,26.47,3275600
26-Apr-17,26.40,26.57,26.38,26.48,3957618
25-Apr-17,26.46,26.47,26.31,26.33,5025782
24-Apr-17,26.22,26.35,26.20,26.34,3810205
21-Apr-17,25.94,25.96,25.78,25.83,2656033
20-Apr-17,25.91,26.03,25.88,25.93,2141301
19-Apr-17,26.09,26.15,25.86,25.90,3111847
18-Apr-17,26.04,26.06,25.83,26.05,2548612
17-Apr-17,25.95,26.02,25.87,25.99,2820300
13-Apr-17,25.90,25.99,25.80,25.80,2975116
12-Apr-17,25.91,26.02,25.83,26.01,4351481
11-Apr-17,25.88,25.91,25.63,25.84,3213175
10-Apr-17,25.75,25.82,25.68,25.73,3296944
7-Apr-17,25.59,25.67,25.54,25.59,4153132
6-Apr-17,25.88,25.94,25.78,25.81,3399833
5-Apr-17,26.24,26.27,26.06,26.08,3148231
4-Apr-17,26.14,26.24,26.05,26.15,3077662
3-Apr-17,26.40,26.44,26.14,26.28,3103949
31-Mar-17,26.42,26.59,26.38,26.43,3859030
30-Mar-17,26.40,26.52,26.32,26.45,3638091
29-Mar-17,26.51,26.68,26.49,26.64,3251246
28-Mar-17,26.71,26.80,26.62,26.64,3731336
27-Mar-17,26.85,26.98,26.79,26.91,3907367
24-Mar-17,26.82,26.98,26.72,26.88,5617395
23-Mar-17,26.52,26.94,26.50,26.78,6729966
22-Mar-17,26.32,26.56,26.16,26.53,7324480
21-Mar-17,26.74,26.77,26.49,26.52,5146026
20-Mar-17,26.57,26.67,26.37,26.48,4399822
17-Mar-17,26.43,26.60,26.32,26.55,5186120
16-Mar-17,26.09,26.39,26.08,26.38,7451212
15-Mar-17,25.28,26.06,25.24,25.88,12233428
14-Mar-17,25.25,25.30,25.17,25.20,3310755
13-Mar-17,25.29,25.34,25.19,25.31,4284906
10-Mar-17,25.12,25.30,25.11,25.27,3908521
9-Mar-17,25.19,25.22,25.06,25.19,5033396
8-Mar-17,25.20,25.22,25.02,25.06,4647328
7-Mar-17,25.02,25.13,24.97,25.04,2693172
6-Mar-17,25.19,25.19,25.09,25.13,2859066
3-Mar-17,25.20,25.30,25.08,25.27,4191461
2-Mar-17,25.20,25.35,25.16,25.24,3302451
1-Mar-17,25.23,25.42,25.19,25.30,3436192
28-Feb-17,25.56,25.64,25.37,25.41,3395469
27-Feb-17,25.34,25.48,25.32,25.41,3539196
24-Feb-17,25.71,25.86,25.65,25.73,4245346
23-Feb-17,25.65,25.80,25.57,25.77,4358578
22-Feb-17,25.56,25.59,25.41,25.50,3922725
21-Feb-17,25.43,25.52,25.32,25.50,4930440
17-Feb-17,24.89,25.13,24.80,25.11,4414961
16-Feb-17,25.17,25.28,25.13,25.22,4095063
15-Feb-17,24.73,25.04,24.68,25.03,4351612
14-Feb-17,24.89,24.95,24.78,24.88,3087483
13-Feb-17,25.07,25.09,24.83,24.99,3041132
10-Feb-17,25.03,25.15,24.97,25.00,4150748
9-Feb-17,25.34,25.36,25.20,25.29,6739839
8-Feb-17,24.86,24.97,24.77,24.87,6124873
7-Feb-17,24.40,24.50,24.31,24.45,4981435
6-Feb-17,24.37,24.46,24.32,24.42,5074491
3-Feb-17,24.62,24.75,24.58,24.63,4171160
2-Feb-17,24.60,24.76,24.57,24.69,6006450
1-Feb-17,24.99,25.00,24.67,24.80,4834050
31-Jan-17,24.76,24.95,24.75,24.90,5196779
30-Jan-17,24.95,25.02,24.79,24.90,6400624
27-Jan-17,24.57,24.69,24.52,24.58,4627170
26-Jan-17,24.65,24.71,24.53,24.64,9071466
25-Jan-17,24.80,24.82,24.55,24.80,12650723
24-Jan-17,25.28,25.49,25.14,25.45,7940386
23-Jan-17,25.83,25.99,25.67,25.93,4155851
20-Jan-17,25.80,25.85,25.72,25.79,4225991
19-Jan-17,25.81,25.92,25.74,25.84,5800221
18-Jan-17,26.02,26.10,25.94,25.97,6165762
17-Jan-17,25.95,26.27,25.95,26.24,10131941
13-Jan-17,26.47,26.62,26.42,26.53,5874089
12-Jan-17,26.40,26.72,26.34,26.65,7883357
11-Jan-17,26.16,26.54,26.08,26.52,9948894
10-Jan-17,26.14,26.17,25.91,26.03,7575215
9-Jan-17,25.68,25.69,25.51,25.58,6261203
6-Jan-17,26.19,26.33,26.12,26.23,6614857
5-Jan-17,25.88,26.34,25.87,26.30,8265101
4-Jan-17,25.24,25.56,25.22,25.53,6592052
3-Jan-17,24.84,25.03,24.74,24.96,7692798
30-Dec-16,24.60,24.62,24.36,24.43,6356102
29-Dec-16,24.64,24.66,24.44,24.53,8653098
28-Dec-16,24.48,24.53,24.33,24.39,8334452
27-Dec-16,24.68,24.70,24.50,24.54,4805506
23-Dec-16,24.73,24.77,24.58,24.65,3643708
22-Dec-16,24.79,24.81,24.66,24.72,5072650
21-Dec-16,24.91,24.97,24.74,24.79,5472200
20-Dec-16,25.04,25.04,24.84,24.89,4835870
19-Dec-16,25.22,25.28,25.10,25.13,5107147
16-Dec-16,25.03,25.26,24.90,25.24,9570292
15-Dec-16,24.95,24.98,24.66,24.68,5820546
14-Dec-16,25.49,25.49,25.04,25.12,6126646
13-Dec-16,25.38,25.62,25.31,25.45,6850870
12-Dec-16,25.14,25.31,24.98,25.03,6527552
9-Dec-16,25.08,25.23,24.94,25.20,5329470
8-Dec-16,24.92,25.10,24.87,25.03,5143760
7-Dec-16,24.72,24.98,24.63,24.97,6306905
6-Dec-16,24.50,24.61,24.34,24.50,5550625
5-Dec-16,24.75,24.76,24.30,24.33,9630504
2-Dec-16,24.37,24.63,24.33,24.44,7637625
1-Dec-16,24.58,24.60,24.17,24.30,8672726
30-Nov-16,24.86,24.90,24.44,24.44,8209004
29-Nov-16,24.59,24.68,24.47,24.49,6721725
28-Nov-16,24.74,24.78,24.51,24.53,8432377
25-Nov-16,25.11,25.20,25.06,25.19,2991652
23-Nov-16,24.66,24.95,24.58,24.88,8518073
22-Nov-16,25.09,25.22,25.01,25.18,5852692
21-Nov-16,25.67,25.79,25.47,25.51,6265925
18-Nov-16,25.72,25.81,25.59,25.69,4902855
17-Nov-16,25.97,26.10,25.92,26.05,7240100
16-Nov-16,25.54,25.89,25.54,25.73,9871121
15-Nov-16,25.65,25.70,25.37,25.63,8690180
14-Nov-16,26.07,26.08,25.76,25.88,6364789
11-Nov-16,26.42,26.47,26.05,26.19,5846177
10-Nov-16,26.80,26.85,26.31,26.48,12993498
9-Nov-16,26.94,27.50,26.86,27.38,8458997
8-Nov-16,27.10,27.35,27.03,27.28,3661019
7-Nov-16,27.12,27.26,27.00,27.18,6533312
4-Nov-16,27.28,27.37,27.11,27.12,6969506
3-Nov-16,27.56,27.66,27.32,27.35,4794788
2-Nov-16,27.65,27.65,27.26,27.28,4291576
1-Nov-16,27.71,27.74,27.40,27.49,5093716
31-Oct-16,27.74,27.94,27.69,27.84,2600049
28-Oct-16,28.01,28.12,27.93,27.98,4901369
27-Oct-16,28.06,28.08,27.85,27.85,3910421
26-Oct-16,27.79,28.11,27.78,27.96,5038693
25-Oct-16,27.99,28.05,27.79,27.91,4641324
24-Oct-16,27.71,27.76,27.63,27.67,4054605
21-Oct-16,27.62,27.81,27.58,27.77,3569905
20-Oct-16,27.72,27.90,27.69,27.82,3737686
19-Oct-16,27.86,27.96,27.76,27.76,4196615
18-Oct-16,28.28,28.36,28.13,28.15,4879789
17-Oct-16,27.71,27.86,27.66,27.81,4623622
14-Oct-16,27.99,28.07,27.80,27.80,4220068
13-Oct-16,27.63,27.91,27.55,27.87,8620148
12-Oct-16,27.93,27.96,27.66,27.87,5754968
11-Oct-16,28.34,28.36,27.80,27.85,6404251
10-Oct-16,28.26,28.44,28.21,28.26,5626416
7-Oct-16,28.28,28.35,28.12,28.21,6465358
6-Oct-16,28.56,28.71,28.47,28.55,5822411
5-Oct-16,29.16,29.21,28.99,29.10,3865519
4-Oct-16,29.54,29.68,29.22,29.30,5303789
3-Oct-16,29.13,29.33,29.04,29.19,4642995
30-Sep-16,29.32,29.35,29.09,29.15,4732148
29-Sep-16,29.55,29.56,29.02,29.12,4986249
28-Sep-16,29.45,29.57,29.30,29.49,4487587
27-Sep-16,28.92,29.33,28.85,29.27,4164910
26-Sep-16,28.95,29.13,28.83,29.07,5428168
23-Sep-16,29.11,29.19,29.05,29.15,6594085
22-Sep-16,29.88,29.93,29.57,29.63,4759020
21-Sep-16,29.57,29.90,29.46,29.87,5301135
20-Sep-16,29.50,29.51,29.27,29.41,5723157
19-Sep-16,29.46,29.48,29.17,29.20,3744152
16-Sep-16,29.16,29.19,28.84,28.99,9224278
15-Sep-16,29.40,29.69,29.32,29.57,6105244
14-Sep-16,29.31,29.61,29.24,29.45,7009827
13-Sep-16,30.00,30.00,29.46,29.66,7463183
12-Sep-16,29.84,30.51,29.77,30.46,10641485
9-Sep-16,30.05,30.05,29.62,29.67,5900774
8-Sep-16,30.05,30.26,30.01,30.19,4732857
7-Sep-16,30.53,30.59,30.15,30.23,4263677
6-Sep-16,30.55,30.71,30.49,30.68,3043673
2-Sep-16,30.68,30.96,30.56,30.90,3820611
1-Sep-16,30.41,30.44,30.08,30.19,3630376
31-Aug-16,30.84,30.88,30.56,30.65,3260637
30-Aug-16,30.84,30.92,30.54,30.63,3982012
29-Aug-16,30.95,31.12,30.92,31.04,1351817
26-Aug-16,31.19,31.49,30.84,30.99,3465159
25-Aug-16,31.33,31.34,31.06,31.10,2204049
24-Aug-16,31.41,31.48,31.32,31.38,3086268
23-Aug-16,31.61,31.67,31.36,31.39,2461846
22-Aug-16,31.19,31.34,31.10,31.31,3052046
19-Aug-16,31.26,31.37,31.08,31.31,3386252
18-Aug-16,31.37,31.69,31.33,31.68,2824117
17-Aug-16,31.42,31.43,31.09,31.35,2258985
16-Aug-16,31.20,31.37,31.14,31.21,3663110
15-Aug-16,31.22,31.43,31.19,31.34,4249414
12-Aug-16,31.38,31.47,31.18,31.21,2034032
11-Aug-16,30.90,31.33,30.84,31.23,3393143
10-Aug-16,30.76,30.85,30.64,30.76,3339998
9-Aug-16,30.62,30.95,30.59,30.87,3543242
8-Aug-16,30.70,31.02,30.69,30.92,4888125
5-Aug-16,30.95,31.18,30.89,31.12,3295036
4-Aug-16,30.95,31.12,30.80,31.05,4532953
3-Aug-16,30.67,31.21,30.66,31.19,6296966
2-Aug-16,30.71,30.81,30.56,30.78,3727969
1-Aug-16,30.72,31.03,30.68,30.75,2569424
