Date,Open,High,Low,Close,Volume
26-May-17,118.10,120.82,118.05,119.92,1477802
25-May-17,118.00,119.42,117.38,118.60,1393410
24-May-17,116.86,118.44,115.10,117.80,1818349
23-May-17,118.94,119.27,115.87,116.59,1859970
22-May-17,118.57,119.27,117.51,118.94,1062021
19-May-17,117.77,118.82,117.10,118.02,1564730
18-May-17,115.55,118.61,115.42,117.93,2155016
17-May-17,117.44,117.88,114.20,114.38,1717861
16-May-17,117.36,118.13,115.13,118.09,1320397
15-May-17,114.64,116.35,113.80,116.23,1101274
12-May-17,115.12,116.23,113.84,114.60,986032
11-May-17,115.41,115.54,113.84,115.36,1395069
10-May-17,116.55,116.55,114.22,115.35,1414006
9-May-17,115.50,117.00,114.38,116.63,1185243
8-May-17,114.56,115.65,113.81,115.06,1544391
5-May-17,116.54,116.70,113.66,114.84,2545057
4-May-17,119.59,119.95,115.91,116.39,1672738
3-May-17,118.52,119.36,117.88,119.05,1333324
2-May-17,120.82,121.96,116.40,118.47,2465422
1-May-17,118.98,120.73,117.99,120.62,2109563
28-Apr-17,119.50,120.50,115.45,118.30,3387189
27-Apr-17,116.00,118.26,116.00,117.42,1424441
26-Apr-17,118.08,118.08,116.07,116.34,1759118
25-Apr-17,117.79,118.41,116.92,117.27,1243008
24-Apr-17,117.66,118.79,117.31,117.66,1502994
21-Apr-17,117.17,117.69,115.92,116.70,2803925
20-Apr-17,115.20,117.99,114.13,117.26,1495498
19-Apr-17,115.55,116.63,114.29,114.63,1570444
18-Apr-17,114.62,115.48,113.83,114.65,1136516
17-Apr-17,114.39,115.22,113.95,114.81,1184295
13-Apr-17,114.70,116.10,113.22,113.80,1599960
12-Apr-17,114.23,115.80,113.69,114.86,1161945
11-Apr-17,113.42,114.35,111.32,114.23,1794271
10-Apr-17,115.66,116.66,112.94,114.06,2116554
7-Apr-17,114.35,117.65,114.07,115.88,2108064
6-Apr-17,114.11,114.88,113.17,114.26,1959774
5-Apr-17,112.35,116.86,111.22,114.11,4032677
4-Apr-17,107.24,112.69,107.24,112.29,2914105
3-Apr-17,109.01,110.49,107.31,107.45,2040768
31-Mar-17,107.89,109.49,106.54,109.35,2849236
30-Mar-17,107.88,109.73,106.52,107.29,3024367
29-Mar-17,106.03,111.88,106.03,108.01,13681500
28-Mar-17,90.31,90.76,89.22,89.67,1561363
27-Mar-17,89.28,91.49,88.90,90.80,1383188
24-Mar-17,89.74,90.48,89.12,89.98,1064364
23-Mar-17,90.00,90.75,88.94,89.05,1043598
