Date,Open,High,Low,Close,Volume
26-May-17,81.00,81.25,80.64,81.25,2735130
25-May-17,80.68,81.27,80.50,80.75,4154609
24-May-17,81.40,81.41,80.31,80.58,3576933
23-May-17,81.57,81.69,81.23,81.24,3050016
22-May-17,80.59,81.44,80.21,81.34,5724315
19-May-17,81.46,81.68,80.57,80.61,5279552
18-May-17,81.96,82.39,81.38,81.45,4378478
17-May-17,83.14,83.43,81.11,81.73,7747008
16-May-17,84.98,84.99,84.27,84.51,2571970
15-May-17,85.16,85.60,84.50,84.96,4142102
12-May-17,85.48,85.61,84.86,85.25,3302457
11-May-17,85.29,85.78,85.09,85.50,4076695
10-May-17,85.77,85.88,85.51,85.62,2580748
9-May-17,85.55,86.42,85.55,85.98,2719576
8-May-17,85.64,85.99,85.36,85.84,2945696
5-May-17,86.18,86.29,85.27,85.89,4187061
4-May-17,85.85,86.27,85.72,86.05,3561653
3-May-17,85.89,86.10,85.52,85.79,3288379
2-May-17,86.73,86.86,85.68,85.81,4013857
1-May-17,86.36,86.86,86.31,86.46,3380047
28-Apr-17,85.77,87.79,85.45,86.54,3615641
27-Apr-17,85.87,86.25,85.63,85.89,2855810
26-Apr-17,85.93,86.35,85.45,85.92,3477924
25-Apr-17,84.45,86.12,84.36,85.92,7008741
24-Apr-17,84.76,84.86,84.16,84.28,5037552
21-Apr-17,84.21,84.62,83.92,84.03,3698774
20-Apr-17,83.73,84.66,83.49,84.14,4219726
19-Apr-17,83.21,84.00,82.96,83.51,5163499
18-Apr-17,82.60,83.05,82.52,82.82,2894280
17-Apr-17,82.63,83.16,82.52,83.13,1931626
13-Apr-17,82.82,83.18,82.35,82.48,2780762
12-Apr-17,82.44,82.83,82.31,82.57,2984343
11-Apr-17,82.27,82.81,82.08,82.68,3464917
10-Apr-17,82.28,82.81,82.12,82.51,4073427
7-Apr-17,81.80,82.94,81.66,82.33,5576132
6-Apr-17,81.20,81.91,80.92,81.66,4696691
5-Apr-17,82.98,83.10,80.30,81.17,12117445
4-Apr-17,82.84,83.61,82.39,82.50,3273405
3-Apr-17,83.36,83.75,82.80,82.95,3283623
31-Mar-17,83.11,83.69,83.03,83.05,3133198
30-Mar-17,83.65,83.79,83.10,83.31,2437968
29-Mar-17,83.60,83.87,83.31,83.77,2016580
28-Mar-17,83.29,84.02,83.10,83.74,3053042
27-Mar-17,82.71,83.62,82.55,83.56,2410041
24-Mar-17,83.25,83.34,82.61,82.97,2110083
23-Mar-17,82.89,83.47,82.59,82.98,2501173
22-Mar-17,83.49,83.85,82.55,83.03,4488298
21-Mar-17,84.76,84.91,82.77,83.21,5072986
20-Mar-17,85.77,85.86,84.55,84.63,3579559
17-Mar-17,86.25,86.25,85.04,85.91,7254687
