Date,Open,High,Low,Close,Volume
26-May-17,89.02,90.08,88.30,90.01,2939704
25-May-17,90.30,90.37,88.55,89.27,3306897
24-May-17,88.68,90.81,88.55,89.70,6147808
23-May-17,88.10,88.32,86.32,88.03,2662355
22-May-17,88.62,88.79,86.79,87.98,3235543
19-May-17,86.55,87.48,86.41,86.66,3026340
18-May-17,85.73,86.51,84.13,86.11,3364679
17-May-17,88.26,88.36,85.14,85.22,3965154
16-May-17,89.01,89.59,88.73,88.96,2197195
15-May-17,89.54,89.78,88.51,89.02,3022374
12-May-17,89.75,90.10,89.08,89.65,1981186
11-May-17,89.02,89.90,88.59,89.68,2124152
10-May-17,88.91,89.80,88.75,89.54,2376690
9-May-17,88.93,90.51,88.43,88.88,3841696
8-May-17,90.34,90.65,89.56,89.90,3901328
5-May-17,88.93,90.74,88.61,90.72,3056968
4-May-17,89.35,90.35,88.54,89.17,3337761
3-May-17,87.03,89.33,86.48,89.22,4382124
2-May-17,87.80,88.11,86.13,87.29,4849254
1-May-17,88.00,88.43,86.13,87.70,8368437
28-Apr-17,90.63,91.00,86.41,89.07,17420550
27-Apr-17,85.13,85.99,83.79,85.71,6021592
26-Apr-17,84.50,85.37,83.45,84.61,7984922
25-Apr-17,87.00,87.47,85.09,86.88,3957563
24-Apr-17,84.56,86.47,84.16,85.77,4009402
21-Apr-17,84.65,84.82,83.11,83.11,2670527
20-Apr-17,83.38,84.59,83.23,84.41,2796432
19-Apr-17,83.44,83.83,82.63,82.80,2625194
18-Apr-17,83.82,84.18,82.55,82.87,3798965
17-Apr-17,83.58,84.45,83.07,84.16,3868341
13-Apr-17,83.80,84.75,83.02,83.50,5045654
12-Apr-17,86.25,86.48,83.69,84.21,5763896
11-Apr-17,86.55,88.00,84.72,86.05,7808986
10-Apr-17,85.40,86.26,84.10,84.78,5373590
7-Apr-17,84.06,85.37,83.06,85.17,4234946
6-Apr-17,82.80,84.33,82.50,84.09,3159979
5-Apr-17,83.37,84.73,82.06,82.70,4093395
4-Apr-17,81.87,83.41,81.50,82.99,2902385
3-Apr-17,82.60,82.93,80.51,82.14,4051510
31-Mar-17,83.61,84.00,82.39,82.53,4155102
30-Mar-17,81.07,84.28,80.90,83.75,6704003
29-Mar-17,80.00,81.49,79.55,81.39,4498360
28-Mar-17,78.72,81.00,78.59,80.56,4000358
27-Mar-17,77.23,79.12,76.82,78.57,3534496
24-Mar-17,79.68,81.10,77.57,78.18,8681926
23-Mar-17,74.65,76.29,74.05,76.19,3575725
22-Mar-17,72.98,75.04,71.38,74.93,3583856
21-Mar-17,76.84,77.01,73.14,73.22,5142627
20-Mar-17,76.89,77.60,76.01,76.42,3514941
17-Mar-17,77.30,77.62,76.65,76.87,3394316
16-Mar-17,77.05,77.87,76.46,77.14,2516004
15-Mar-17,75.56,76.95,74.90,76.72,3205768
14-Mar-17,75.27,75.80,74.47,75.70,2355044
13-Mar-17,74.87,76.01,74.73,75.70,2104167
10-Mar-17,75.01,75.48,74.53,75.00,2747248
9-Mar-17,76.06,76.07,73.07,74.26,5024790
8-Mar-17,76.68,77.15,76.26,76.45,1649012
7-Mar-17,76.80,77.38,75.95,76.80,2123187
6-Mar-17,76.97,77.60,75.43,76.80,3854957
3-Mar-17,76.67,78.22,76.66,77.54,3223355
2-Mar-17,78.43,79.14,76.08,76.28,4867104
1-Mar-17,78.13,78.50,76.60,78.32,4667790
28-Feb-17,75.90,77.62,75.70,76.88,5078057
27-Feb-17,74.59,76.21,74.04,76.10,4015522
24-Feb-17,73.12,74.66,72.75,74.65,4087518
23-Feb-17,74.91,75.39,74.30,74.59,2888147
22-Feb-17,74.72,75.47,74.26,74.47,2811394
21-Feb-17,74.94,75.55,74.64,74.90,3437549
17-Feb-17,75.75,75.81,74.26,74.91,4790741
16-Feb-17,76.50,77.70,75.78,75.95,2946385
15-Feb-17,76.50,77.00,75.81,76.01,3362142
14-Feb-17,77.35,77.47,75.98,76.41,5390393
13-Feb-17,78.00,78.67,77.80,78.47,2399929
10-Feb-17,78.20,78.45,76.84,77.36,2878201
9-Feb-17,77.74,78.58,77.35,78.05,2884854
8-Feb-17,77.75,77.89,76.14,77.08,4499223
7-Feb-17,79.34,79.59,78.65,79.05,2629206
6-Feb-17,79.00,79.65,78.55,78.94,2307417
3-Feb-17,79.38,79.85,78.98,79.13,2624911
2-Feb-17,79.18,79.93,78.80,79.23,2982651
1-Feb-17,80.47,80.70,78.46,79.16,3897756
31-Jan-17,79.11,79.91,77.80,79.73,3617827
30-Jan-17,79.28,79.86,78.51,79.22,3845936
27-Jan-17,78.86,80.04,78.14,79.52,5244208
26-Jan-17,79.84,81.67,78.36,78.47,9977845
25-Jan-17,79.78,81.26,79.10,80.02,13823802
24-Jan-17,74.01,76.52,73.93,76.01,6509245
23-Jan-17,72.95,73.00,71.10,72.65,4707168
20-Jan-17,72.39,73.40,72.28,72.63,3513040
19-Jan-17,72.06,73.11,71.63,71.67,4121292
18-Jan-17,71.99,73.47,71.58,73.24,4413117
17-Jan-17,70.74,72.34,70.73,71.62,4505724
13-Jan-17,70.59,71.82,70.59,71.00,2078365
12-Jan-17,70.93,71.03,69.10,70.75,3451275
11-Jan-17,71.17,72.56,70.57,71.45,4370652
10-Jan-17,71.82,72.20,70.78,70.84,3651239
9-Jan-17,70.90,72.30,70.43,71.86,3909563
6-Jan-17,70.48,71.19,69.96,70.38,3274293
5-Jan-17,71.06,72.13,70.13,70.55,3638317
4-Jan-17,69.58,71.58,69.55,70.54,3653169
3-Jan-17,68.95,70.30,68.58,69.43,4479040
30-Dec-16,68.55,69.40,67.61,67.95,2824118
29-Dec-16,69.02,69.44,67.80,68.43,3268450
28-Dec-16,69.86,71.16,68.63,69.21,3147008
27-Dec-16,69.70,70.48,69.55,70.17,2102494
23-Dec-16,70.14,70.69,69.69,70.35,2257114
22-Dec-16,71.39,72.01,69.81,70.19,5459274
21-Dec-16,69.01,69.79,68.27,69.22,2736048
20-Dec-16,69.21,71.67,68.73,68.95,4286290
19-Dec-16,67.34,68.43,67.02,68.36,2549476
16-Dec-16,68.78,68.79,66.91,67.18,4851758
15-Dec-16,67.30,68.84,66.80,67.89,2804080
14-Dec-16,67.45,68.29,66.74,67.17,2558199
13-Dec-16,66.59,68.80,66.59,67.90,3550223
12-Dec-16,67.69,67.69,65.08,66.29,3637672
9-Dec-16,68.40,69.40,67.57,67.71,3101065
8-Dec-16,69.23,69.50,67.57,68.25,4771074
7-Dec-16,67.92,69.60,66.31,69.15,15474985
6-Dec-16,62.07,64.27,61.85,63.85,5049511
5-Dec-16,64.14,64.88,60.78,62.09,6865574
2-Dec-16,61.51,63.65,61.51,63.35,3496934
1-Dec-16,63.87,65.99,61.37,61.61,5508385
30-Nov-16,63.26,64.37,62.75,63.66,5383041
29-Nov-16,62.29,64.29,62.29,62.67,5052997
28-Nov-16,61.03,63.12,61.03,62.27,4726728
25-Nov-16,60.96,61.72,60.66,61.59,1315405
23-Nov-16,60.80,61.48,60.30,61.04,2201640
22-Nov-16,61.45,61.89,60.32,61.19,2696428
21-Nov-16,61.10,62.34,60.87,61.17,3887203
18-Nov-16,58.97,60.93,58.30,60.93,4837313
17-Nov-16,59.71,60.25,57.62,58.80,6615963
16-Nov-16,59.52,59.83,58.86,59.53,2961160
15-Nov-16,59.49,59.98,58.71,59.71,4047864
14-Nov-16,58.66,60.54,58.65,59.48,4415563
11-Nov-16,56.72,58.99,56.26,58.89,6219953
10-Nov-16,57.98,59.49,56.66,56.84,4856342
9-Nov-16,56.08,58.04,55.05,57.48,5819446
8-Nov-16,57.34,57.77,56.65,57.26,2974875
7-Nov-16,56.41,57.96,56.30,57.67,4502963
4-Nov-16,54.72,55.97,54.26,55.02,2705620
3-Nov-16,55.43,55.98,54.87,55.14,3192636
2-Nov-16,57.11,57.63,55.14,55.20,4216225
1-Nov-16,58.51,58.90,56.30,57.24,3821098
31-Oct-16,59.25,59.95,58.43,58.44,3363161
28-Oct-16,59.68,61.00,59.10,59.21,4760215
27-Oct-16,58.55,61.97,58.50,59.58,15085521
26-Oct-16,53.52,56.67,53.14,56.52,8825995
25-Oct-16,54.05,54.44,53.11,53.63,3335186
24-Oct-16,53.32,53.75,53.16,53.52,3157295
21-Oct-16,53.53,53.64,52.62,53.07,2764605
20-Oct-16,53.59,54.30,53.30,53.86,2215172
19-Oct-16,52.70,53.97,52.10,53.60,3705863
18-Oct-16,54.07,54.36,53.00,53.99,3133732
17-Oct-16,54.82,55.72,52.43,53.18,6593534
14-Oct-16,55.62,56.47,54.71,54.84,3832916
13-Oct-16,55.62,55.63,53.73,55.28,4978106
12-Oct-16,56.75,57.86,55.97,56.43,4292544
11-Oct-16,59.26,59.35,56.05,56.62,6387849
10-Oct-16,59.34,59.73,58.73,59.26,3761356
7-Oct-16,57.91,59.11,57.87,58.67,3517186
6-Oct-16,59.20,59.26,57.27,58.05,4964569
5-Oct-16,58.49,59.69,58.19,59.24,4441993
4-Oct-16,59.35,59.55,58.24,58.69,4601207
3-Oct-16,59.02,60.47,58.74,58.86,5164389
30-Sep-16,58.43,59.15,57.69,58.47,4396809
29-Sep-16,58.43,59.86,57.57,58.27,5366641
28-Sep-16,59.00,59.27,57.02,58.01,4878139
27-Sep-16,56.79,59.32,56.66,58.86,7932465
26-Sep-16,55.60,57.70,55.50,57.01,5901548
23-Sep-16,55.94,56.80,55.82,55.93,3982669
22-Sep-16,56.52,56.88,55.81,56.07,4564358
21-Sep-16,54.40,56.19,54.39,56.13,4197423
20-Sep-16,54.92,55.25,54.11,54.42,3054382
19-Sep-16,55.36,56.45,54.33,54.63,4743886
16-Sep-16,54.73,55.95,54.30,54.94,9507939
15-Sep-16,52.11,53.34,51.98,53.28,3977542
14-Sep-16,52.40,52.68,51.79,51.99,3859871
13-Sep-16,52.52,53.44,51.52,52.37,5534048
12-Sep-16,51.00,52.53,50.10,52.31,6534528
9-Sep-16,52.95,54.41,51.30,51.59,6034300
8-Sep-16,53.09,53.90,52.83,53.47,7121404
7-Sep-16,49.56,54.18,49.56,53.30,18607084
6-Sep-16,47.10,47.70,46.83,47.55,4514077
2-Sep-16,46.88,47.70,46.26,46.97,2820645
1-Sep-16,46.67,47.08,45.70,46.32,3015138
31-Aug-16,46.80,47.06,46.04,46.67,3336967
30-Aug-16,47.30,47.60,46.73,47.10,2469674
29-Aug-16,46.90,47.39,46.83,47.08,2807468
26-Aug-16,46.77,47.53,46.44,46.93,3363282
25-Aug-16,45.37,47.06,45.36,46.44,4123789
24-Aug-16,46.62,47.00,45.25,45.41,2757776
23-Aug-16,46.18,46.75,45.83,46.50,3170715
22-Aug-16,46.44,46.59,45.43,46.14,2942566
19-Aug-16,45.64,47.29,45.60,46.60,3907337
18-Aug-16,44.98,45.91,44.88,45.81,3701900
17-Aug-16,45.00,45.40,44.43,44.73,4730129
16-Aug-16,46.08,46.27,45.56,45.78,3247908
15-Aug-16,44.47,46.25,44.47,45.84,4334239
12-Aug-16,43.88,44.43,43.60,44.31,2743520
11-Aug-16,43.39,44.27,43.29,43.89,3790223
