Date,Open,High,Low,Close,Volume
26-May-17,124.45,127.32,124.45,125.73,1354115
25-May-17,124.03,124.84,123.67,124.44,1000290
24-May-17,124.19,124.68,123.32,124.00,1102732
23-May-17,125.84,127.58,123.89,124.15,1908411
22-May-17,123.56,125.82,123.00,125.16,1979767
19-May-17,123.03,124.94,120.47,121.73,3181985
18-May-17,120.55,123.75,120.52,122.42,1652610
17-May-17,126.23,126.65,122.39,122.62,2715980
16-May-17,126.43,129.03,126.05,127.91,2408092
15-May-17,124.79,126.47,124.26,125.69,1396356
12-May-17,124.68,127.14,124.18,125.29,2374865
11-May-17,123.36,123.36,121.71,122.23,1051336
10-May-17,122.55,123.38,121.68,123.27,1236345
9-May-17,120.44,123.90,120.23,123.46,2917392
8-May-17,120.79,121.62,119.17,120.20,2901946
5-May-17,123.48,123.83,119.84,122.14,3086107
4-May-17,126.12,126.45,123.88,124.32,1423263
3-May-17,125.24,126.17,124.54,125.85,1322795
2-May-17,126.51,126.57,124.86,125.30,1497498
1-May-17,123.99,126.99,123.25,125.92,2138706
28-Apr-17,125.04,125.04,122.97,123.01,1522802
27-Apr-17,125.22,125.96,124.00,124.50,2448277
26-Apr-17,123.30,127.20,121.57,125.19,6282743
25-Apr-17,115.73,118.34,115.73,118.22,4245472
24-Apr-17,116.98,117.00,115.22,115.57,2350248
21-Apr-17,116.25,116.37,114.40,115.90,4250160
20-Apr-17,116.18,116.70,115.40,116.15,2107813
19-Apr-17,115.75,116.60,114.74,114.94,1207565
18-Apr-17,114.00,116.06,113.82,115.89,1753083
17-Apr-17,113.77,115.20,113.69,114.64,3059290
13-Apr-17,115.05,115.34,112.91,113.47,2553386
12-Apr-17,116.63,117.07,114.74,115.39,1654623
11-Apr-17,116.41,116.75,113.86,116.23,1934890
10-Apr-17,116.30,117.56,115.32,116.18,1293244
7-Apr-17,117.77,117.95,116.30,116.83,1582839
6-Apr-17,116.18,118.57,116.08,117.85,1953882
5-Apr-17,118.27,119.43,116.51,116.68,3103612
4-Apr-17,116.00,116.86,115.27,116.74,1668147
3-Apr-17,117.82,119.80,115.87,116.34,3477240
31-Mar-17,113.34,114.93,112.70,114.61,1979622
30-Mar-17,115.29,115.73,113.80,114.30,1686358
29-Mar-17,114.87,115.99,114.55,115.49,1213306
28-Mar-17,114.98,116.19,113.89,115.18,2147973
27-Mar-17,110.81,115.77,110.18,114.65,3487176
24-Mar-17,112.75,113.26,110.89,111.92,1666343
23-Mar-17,113.29,114.08,111.78,112.32,2302579
22-Mar-17,111.86,113.52,111.30,113.35,2473009
21-Mar-17,112.99,113.95,110.55,111.75,4163683
20-Mar-17,110.00,113.85,110.00,111.64,5013333
17-Mar-17,107.27,110.31,106.70,110.19,3913548
16-Mar-17,105.00,108.60,103.78,106.17,4709989
15-Mar-17,104.82,104.98,103.13,104.75,2129438
14-Mar-17,104.20,105.83,103.75,104.70,2777068
13-Mar-17,101.95,104.71,101.50,104.30,3454131
10-Mar-17,99.17,100.52,98.82,99.55,1485803
9-Mar-17,98.82,99.74,98.41,98.99,1081649
8-Mar-17,99.38,100.31,98.76,99.23,1205891
7-Mar-17,99.78,100.17,98.25,99.46,2462419
6-Mar-17,100.78,101.14,99.52,100.37,1206049
3-Mar-17,100.02,101.52,99.08,101.04,1783573
2-Mar-17,102.67,102.67,99.74,100.15,2754098
1-Mar-17,99.90,103.71,99.62,102.71,6088520
28-Feb-17,95.22,97.75,94.81,96.15,2094135
27-Feb-17,94.44,96.24,94.28,95.51,1694362
24-Feb-17,93.25,94.06,92.67,94.01,1935303
23-Feb-17,95.16,95.28,93.60,93.84,2079355
22-Feb-17,95.89,95.97,94.31,94.75,1975149
21-Feb-17,96.20,96.38,95.05,95.97,1551028
17-Feb-17,96.21,96.34,95.02,95.91,1989132
16-Feb-17,99.59,99.60,96.57,96.72,2812990
15-Feb-17,97.44,100.29,96.91,99.79,1924887
14-Feb-17,100.51,100.66,97.60,97.68,1876153
13-Feb-17,98.88,99.42,98.20,98.97,1621225
10-Feb-17,99.03,100.20,98.52,98.90,2314945
9-Feb-17,97.56,99.17,97.30,98.88,1764328
8-Feb-17,96.98,97.23,96.33,97.18,1061765
7-Feb-17,96.87,97.29,96.53,97.01,1903166
6-Feb-17,98.25,99.30,95.99,97.02,2828753
3-Feb-17,97.68,98.50,96.70,96.92,1888810
2-Feb-17,97.33,98.08,96.56,97.38,1698709
1-Feb-17,99.56,100.09,97.77,97.86,3025417
31-Jan-17,102.15,102.45,100.89,101.43,1827534
