Date,Open,High,Low,Close,Volume
19-May-17,66.05,67.09,65.69,66.67,4422476
18-May-17,64.55,66.12,64.29,65.61,4789795
17-May-17,65.05,65.44,64.36,64.76,3495994
16-May-17,65.01,65.50,64.55,65.46,2611445
15-May-17,64.41,64.92,64.26,64.79,2089876
12-May-17,64.33,64.55,64.04,64.30,2357206
11-May-17,64.16,64.68,63.65,64.58,2336300
10-May-17,64.77,65.05,64.23,64.62,2471036
9-May-17,64.61,65.20,64.15,64.69,3068819
8-May-17,63.59,64.98,63.49,64.57,4535149
5-May-17,63.00,63.50,62.50,63.39,1638515
4-May-17,62.71,63.03,62.41,62.94,2317514
3-May-17,62.65,62.86,62.13,62.61,2870702
2-May-17,63.15,63.27,62.45,62.69,2450785
1-May-17,63.29,63.80,62.91,63.36,2996325
28-Apr-17,63.97,64.24,62.85,63.11,4066270
27-Apr-17,63.21,64.90,62.16,64.40,7975094
26-Apr-17,60.68,61.16,59.84,59.99,4480369
25-Apr-17,60.80,60.80,60.16,60.69,5359076
24-Apr-17,59.37,60.71,59.24,60.65,7583484
21-Apr-17,57.44,57.91,56.69,57.69,2219010
20-Apr-17,57.12,57.82,56.95,57.71,4330523
19-Apr-17,56.92,57.55,56.66,56.73,3522253
18-Apr-17,55.62,56.59,55.59,56.49,2670237
17-Apr-17,55.87,56.07,55.48,55.91,1709095
13-Apr-17,55.42,56.37,55.05,55.68,3739794
12-Apr-17,55.67,56.17,54.99,55.10,2984775
11-Apr-17,55.85,55.96,55.16,55.96,2372404
10-Apr-17,56.59,56.59,55.86,55.99,2363156
7-Apr-17,56.45,57.12,56.31,56.48,2726174
6-Apr-17,56.64,56.64,56.13,56.34,3203754
5-Apr-17,57.23,57.48,56.57,56.65,2373670
4-Apr-17,56.97,57.33,56.94,57.13,2424095
3-Apr-17,57.93,58.26,56.79,57.18,2510480
31-Mar-17,57.80,57.97,57.20,57.89,6222766
30-Mar-17,57.85,58.22,57.81,57.88,1648575
29-Mar-17,57.96,58.24,57.81,58.02,2130874
28-Mar-17,58.17,58.29,57.82,57.97,1908164
27-Mar-17,58.19,58.41,57.79,58.20,1884577
24-Mar-17,59.32,59.52,58.60,58.63,1389549
23-Mar-17,58.92,59.24,58.56,58.84,2585880
22-Mar-17,58.94,59.30,58.66,59.07,1364394
21-Mar-17,60.56,60.67,58.81,58.89,2443975
20-Mar-17,60.07,60.64,59.83,60.32,1671887
17-Mar-17,60.55,60.55,59.83,60.08,3354222
16-Mar-17,60.44,60.81,59.75,60.05,1775168
15-Mar-17,59.91,60.36,59.77,60.32,1572932
14-Mar-17,59.84,59.98,58.92,59.72,1367612
13-Mar-17,59.70,60.03,59.34,59.99,1847065
10-Mar-17,59.34,59.77,59.12,59.55,1873385
9-Mar-17,58.90,59.08,58.54,58.90,1823572
8-Mar-17,58.98,59.36,58.82,58.90,2187212
7-Mar-17,58.70,59.36,58.57,58.75,1872119
6-Mar-17,58.81,58.93,58.40,58.81,1721280
3-Mar-17,59.26,59.27,58.39,58.74,2340408
2-Mar-17,59.50,59.84,59.09,59.35,1933849
1-Mar-17,59.22,59.74,58.79,59.68,1803094
28-Feb-17,58.92,59.42,58.63,58.82,2562918
27-Feb-17,59.00,59.09,58.36,58.98,1805683
24-Feb-17,58.61,59.00,58.11,58.99,2612307
23-Feb-17,59.70,59.70,58.72,58.94,2212546
22-Feb-17,60.39,60.48,59.48,59.81,2241532
21-Feb-17,60.00,60.51,59.76,60.27,2233278
17-Feb-17,59.39,60.07,58.85,60.06,2490596
16-Feb-17,59.05,59.65,58.91,59.61,2231739
15-Feb-17,58.77,59.43,58.60,58.92,2528666
14-Feb-17,59.42,59.44,58.58,58.75,2394576
13-Feb-17,58.26,59.70,58.16,59.51,3862253
10-Feb-17,58.04,58.31,57.24,58.01,5044370
9-Feb-17,58.17,58.43,57.85,57.94,1500369
8-Feb-17,58.10,58.63,57.91,58.23,1357185
7-Feb-17,58.34,58.47,58.00,58.09,1216701
6-Feb-17,57.79,58.35,57.75,58.23,1358892
3-Feb-17,58.26,58.48,58.01,58.22,1337414
2-Feb-17,57.08,58.19,56.60,58.14,2401828
1-Feb-17,58.19,58.55,57.28,57.39,3148354
31-Jan-17,58.85,58.87,57.63,58.20,3694854
30-Jan-17,58.35,59.19,57.80,59.10,3911805
27-Jan-17,57.58,58.49,57.46,58.49,4526132
26-Jan-17,60.75,60.77,56.85,57.37,7146898
25-Jan-17,59.80,60.24,59.07,59.56,3856290
24-Jan-17,58.14,58.99,58.10,58.92,2785527
23-Jan-17,58.00,58.28,57.50,57.96,2538271
20-Jan-17,58.09,58.64,57.69,58.03,2663757
19-Jan-17,57.85,58.51,57.85,57.98,2750706
18-Jan-17,57.50,58.28,57.03,58.14,2254335
17-Jan-17,58.33,58.63,57.58,57.73,1996539
13-Jan-17,58.04,58.62,57.78,58.51,1332552
12-Jan-17,58.34,58.48,57.60,58.03,1844904
11-Jan-17,58.88,58.99,58.33,58.50,2322039
10-Jan-17,59.04,59.17,58.38,58.53,2271213
9-Jan-17,58.92,59.44,58.64,59.06,3551552
6-Jan-17,58.12,59.32,57.78,59.05,2382416
5-Jan-17,58.78,59.11,57.84,57.93,2197970
4-Jan-17,59.22,59.46,57.91,58.64,3281724
3-Jan-17,60.68,60.80,58.35,59.07,4127017
30-Dec-16,61.09,61.48,60.02,60.37,2112510
29-Dec-16,60.60,61.12,60.36,60.74,1398114
28-Dec-16,62.14,62.24,60.59,60.63,2140990
27-Dec-16,61.07,61.58,60.89,61.24,1594433
23-Dec-16,60.38,60.57,60.08,60.56,1105740
22-Dec-16,60.74,60.89,59.84,60.19,1531617
21-Dec-16,59.96,60.96,59.51,60.24,3080766
20-Dec-16,58.68,60.00,58.68,59.96,3178419
19-Dec-16,58.61,59.09,58.41,58.61,2306519
16-Dec-16,60.30,60.33,58.36,58.46,5026987
15-Dec-16,58.29,60.52,58.00,60.18,7769290
14-Dec-16,56.55,57.19,56.43,56.73,2859955
13-Dec-16,55.91,56.99,55.78,56.48,2162422
12-Dec-16,55.70,56.08,55.47,55.86,1992346
9-Dec-16,55.74,56.25,55.16,55.91,2256082
8-Dec-16,55.32,56.12,55.28,55.64,2788515
7-Dec-16,54.50,55.40,54.41,55.30,3363008
6-Dec-16,54.34,54.62,54.01,54.54,2244931
5-Dec-16,54.50,54.67,53.66,54.37,6458320
2-Dec-16,53.26,54.28,53.09,54.22,3328962
1-Dec-16,54.11,54.75,52.54,53.39,5908216
30-Nov-16,54.10,54.74,53.69,53.98,4360487
29-Nov-16,53.33,54.12,53.04,54.01,4413786
28-Nov-16,53.26,53.57,53.13,53.29,2628872
25-Nov-16,53.19,53.59,53.12,53.39,787528
23-Nov-16,53.34,53.43,52.91,53.12,2652712
22-Nov-16,53.39,53.65,53.20,53.35,2043567
21-Nov-16,53.02,53.49,52.73,53.13,2447480
18-Nov-16,53.20,53.23,52.91,52.98,1818056
17-Nov-16,53.33,53.59,53.03,53.24,2525445
16-Nov-16,53.85,54.29,53.54,53.55,2481890
15-Nov-16,53.10,54.00,53.02,53.93,2281678
14-Nov-16,51.90,53.18,51.67,52.83,3228699
11-Nov-16,50.84,51.83,50.78,51.64,3310615
10-Nov-16,51.99,52.22,50.26,50.88,4739250
9-Nov-16,50.27,52.03,50.00,51.85,2412705
8-Nov-16,51.35,52.10,51.18,51.70,2423536
7-Nov-16,50.67,51.35,50.49,51.26,2683998
4-Nov-16,50.03,50.57,49.78,49.83,2454683
3-Nov-16,50.12,50.99,50.12,50.69,2322053
2-Nov-16,50.92,51.00,50.11,50.12,2460895
1-Nov-16,51.03,51.20,50.28,50.90,4210116
31-Oct-16,50.48,50.98,50.47,50.87,2491717
28-Oct-16,50.34,51.09,50.23,50.26,2084870
27-Oct-16,50.62,50.92,50.24,50.32,2851482
26-Oct-16,50.14,50.61,50.02,50.29,1955021
25-Oct-16,50.28,50.67,50.20,50.31,2538769
24-Oct-16,50.11,50.39,49.90,50.33,2004356
21-Oct-16,49.74,49.82,48.97,49.78,2853906
20-Oct-16,49.61,50.45,49.31,50.09,3320598
19-Oct-16,49.90,50.12,49.40,49.61,2618624
18-Oct-16,50.13,50.46,49.82,50.13,2485952
17-Oct-16,49.91,50.18,49.53,49.70,1901515
14-Oct-16,50.23,50.38,49.88,49.99,1874595
13-Oct-16,49.50,50.03,49.15,49.90,3651072
12-Oct-16,49.63,50.32,48.75,50.08,4177788
11-Oct-16,52.18,52.18,50.79,50.99,3528361
10-Oct-16,52.99,53.28,51.97,52.21,2576205
7-Oct-16,53.50,53.50,52.88,52.89,2568603
6-Oct-16,53.30,53.59,52.91,53.43,1556113
5-Oct-16,53.33,53.61,53.07,53.41,1914876
4-Oct-16,53.85,53.90,52.86,53.06,2310772
3-Oct-16,54.31,54.84,53.82,53.93,2073752
30-Sep-16,53.66,55.49,53.66,54.34,5662131
29-Sep-16,53.33,54.00,52.82,53.49,2863107
28-Sep-16,53.23,53.49,52.97,53.35,1341955
27-Sep-16,52.45,53.30,51.90,53.22,1928127
26-Sep-16,52.78,52.98,52.51,52.58,1410251
23-Sep-16,53.50,53.58,53.07,53.12,1197167
22-Sep-16,53.64,53.77,53.26,53.44,1155529
21-Sep-16,53.14,53.30,52.80,53.25,2260646
20-Sep-16,53.65,53.73,52.91,52.93,1761073
19-Sep-16,53.53,53.92,53.28,53.49,1528904
16-Sep-16,53.81,53.98,53.05,53.36,2352237
15-Sep-16,52.89,53.78,52.67,53.57,2386248
14-Sep-16,52.65,53.22,52.31,53.01,1971181
13-Sep-16,52.73,52.94,52.38,52.53,1912456
12-Sep-16,51.94,53.25,51.69,53.12,2523466
9-Sep-16,52.97,53.16,51.98,52.08,4008530
8-Sep-16,53.60,53.72,53.14,53.39,3167697
7-Sep-16,54.46,54.49,53.66,53.77,1652973
6-Sep-16,54.44,54.82,54.08,54.36,1500243
2-Sep-16,54.41,54.73,54.04,54.46,2088497
1-Sep-16,54.17,54.36,53.48,54.24,2428167
31-Aug-16,54.20,54.30,53.73,54.21,3029574
30-Aug-16,54.33,54.69,54.08,54.19,2380003
29-Aug-16,54.20,54.62,54.07,54.15,2075770
26-Aug-16,54.03,54.54,53.68,54.18,1707400
25-Aug-16,53.91,54.10,53.80,54.09,1524933
24-Aug-16,54.00,54.20,53.80,53.98,2062601
23-Aug-16,53.85,54.13,53.75,54.03,1931604
22-Aug-16,53.19,53.77,53.16,53.66,2036449
19-Aug-16,52.93,53.33,52.93,53.14,3980118
18-Aug-16,52.38,53.02,52.32,53.01,2500354
17-Aug-16,51.76,52.30,51.61,52.19,1568886
16-Aug-16,51.85,52.03,51.31,51.74,1182212
15-Aug-16,52.02,52.43,52.00,52.04,1702605
12-Aug-16,51.83,52.18,51.67,51.84,1151938
11-Aug-16,51.50,51.90,51.49,51.83,1035346
10-Aug-16,51.94,51.94,51.57,51.65,1221271
9-Aug-16,51.41,52.28,51.41,51.99,2434101
8-Aug-16,51.95,51.96,51.49,51.57,1690269
5-Aug-16,51.59,51.77,51.53,51.77,1491436
4-Aug-16,50.87,51.44,50.69,51.43,1487303
3-Aug-16,50.54,50.89,50.05,50.84,2162142
2-Aug-16,51.01,51.12,50.45,50.76,1936357
1-Aug-16,51.00,51.42,50.92,51.20,2660179
29-Jul-16,51.19,51.48,50.89,51.08,2735018
28-Jul-16,50.00,51.44,49.76,51.09,5761425
27-Jul-16,49.89,49.89,49.35,49.84,3185049
26-Jul-16,48.65,49.83,48.52,49.70,4023071
25-Jul-16,48.39,48.62,48.16,48.45,1518851
22-Jul-16,47.87,48.36,47.53,48.35,1231038
21-Jul-16,47.99,48.25,47.62,47.79,1368772
20-Jul-16,48.12,48.34,47.77,48.08,1709517
19-Jul-16,48.14,48.35,47.84,47.98,2153250
18-Jul-16,48.47,48.58,48.05,48.37,1904451
15-Jul-16,48.04,48.06,47.69,47.90,1543397
14-Jul-16,48.00,48.00,47.62,47.84,1294225
13-Jul-16,47.64,47.77,47.47,47.62,1597662
12-Jul-16,47.32,47.63,47.12,47.48,1703701
11-Jul-16,46.97,47.42,46.75,47.22,1233377
8-Jul-16,46.13,47.00,45.90,46.97,1770474
7-Jul-16,45.47,46.08,45.47,45.71,1471554
6-Jul-16,45.35,45.54,44.95,45.48,1738568
5-Jul-16,45.89,46.00,45.37,45.57,1730243
1-Jul-16,45.87,46.26,45.61,46.19,1482004
30-Jun-16,45.49,46.18,45.29,46.13,1593119
29-Jun-16,45.00,45.80,44.77,45.47,2492867
28-Jun-16,44.23,44.87,44.00,44.75,1730389
27-Jun-16,44.82,45.21,43.50,43.84,3007594
24-Jun-16,45.71,46.40,45.27,45.31,3328251
23-Jun-16,46.90,47.45,46.70,47.44,1522413
22-Jun-16,46.74,46.77,46.37,46.42,1804226
21-Jun-16,46.56,46.73,46.26,46.68,1805032
20-Jun-16,47.01,47.24,46.44,46.50,2020087
17-Jun-16,46.86,46.88,46.14,46.40,3527268
16-Jun-16,46.33,46.91,46.19,46.84,1285647
15-Jun-16,47.03,47.24,46.66,46.69,1824569
14-Jun-16,46.28,47.07,46.28,46.96,2434490
13-Jun-16,46.64,46.90,46.27,46.32,2125781
10-Jun-16,46.53,47.05,46.49,46.73,1400641
9-Jun-16,46.97,47.12,46.80,47.03,1826689
8-Jun-16,47.10,47.35,46.90,47.18,1269371
7-Jun-16,47.07,47.26,46.82,47.17,1633160
6-Jun-16,47.41,47.47,46.85,46.87,2768521
3-Jun-16,47.53,47.97,46.92,47.41,2963891
2-Jun-16,46.79,47.38,46.54,47.12,3452017
1-Jun-16,47.15,47.45,47.01,47.37,1814724
31-May-16,47.45,47.45,46.86,47.39,2316432
27-May-16,46.48,48.00,46.48,47.36,2523844
26-May-16,47.14,47.31,46.73,47.11,2513188
25-May-16,47.46,47.55,46.47,47.12,5303831
24-May-16,45.05,47.89,44.90,47.45,13203766
23-May-16,44.89,45.08,44.81,44.89,2789408
20-May-16,44.12,44.79,44.02,44.75,2555688
19-May-16,43.79,44.06,43.46,43.84,4265752
18-May-16,43.36,44.22,43.24,43.93,2729936
17-May-16,43.43,44.15,43.30,43.53,3293398
16-May-16,42.98,43.82,42.98,43.51,2847561
13-May-16,42.84,43.54,42.67,43.24,2935053
12-May-16,43.26,43.30,42.37,42.92,2588776
11-May-16,43.13,43.43,42.88,43.06,2310173
10-May-16,43.15,43.55,42.93,43.24,1873368
9-May-16,43.35,43.58,43.01,43.07,2234588
6-May-16,42.77,43.22,42.61,43.20,1673754
5-May-16,42.97,43.38,42.74,43.09,3030206
4-May-16,43.34,43.71,42.84,42.98,2638127
3-May-16,43.30,43.49,42.96,43.48,2920564
2-May-16,43.21,43.87,43.09,43.74,3138507
29-Apr-16,42.99,43.90,42.71,43.08,4504811
28-Apr-16,45.00,45.75,41.53,43.23,18924329
27-Apr-16,46.83,47.36,46.35,47.35,3193108
26-Apr-16,45.93,47.08,45.93,46.95,4198077
25-Apr-16,45.76,46.09,45.47,45.79,1571141
22-Apr-16,46.03,46.47,45.75,45.87,2078982
21-Apr-16,46.31,46.35,45.95,46.03,2124858
20-Apr-16,45.79,46.73,45.69,46.46,2952059
19-Apr-16,46.50,46.50,45.70,45.90,1994223
18-Apr-16,46.05,46.31,45.86,46.26,1912363
15-Apr-16,46.49,46.50,45.93,46.01,1677829
14-Apr-16,46.51,46.55,45.69,46.55,1809248
13-Apr-16,46.11,46.74,45.92,46.65,1403456
12-Apr-16,46.11,46.32,45.40,45.87,1768675
11-Apr-16,46.41,46.75,46.18,46.21,1504574
8-Apr-16,46.48,46.75,45.98,46.30,1761638
7-Apr-16,46.96,47.06,46.03,46.14,2645344
6-Apr-16,46.79,47.32,46.42,47.25,1871020
5-Apr-16,46.90,47.14,46.81,46.91,2204154
4-Apr-16,47.64,47.64,46.91,47.14,2278141
1-Apr-16,46.99,47.70,46.63,47.62,1927719
31-Mar-16,47.84,47.98,47.40,47.43,2245449
30-Mar-16,47.55,47.95,47.25,47.87,2172278
29-Mar-16,47.00,47.32,46.91,47.25,1800773
28-Mar-16,47.18,47.50,46.98,47.04,2187563
24-Mar-16,47.08,47.22,46.90,47.02,2097543
23-Mar-16,47.60,47.65,47.16,47.33,1658959
22-Mar-16,47.46,47.91,47.22,47.57,2075626
21-Mar-16,47.19,47.51,46.99,47.49,4145459
