Date,Open,High,Low,Close,Volume
19-May-17,61.52,62.04,61.13,61.62,1455377
18-May-17,61.61,62.05,61.15,61.66,996945
17-May-17,61.96,61.96,61.30,61.35,1190909
16-May-17,62.19,62.32,61.61,62.16,927674
15-May-17,61.55,62.18,61.48,62.05,1489948
12-May-17,62.70,62.70,61.60,61.65,1476252
11-May-17,62.32,62.78,62.10,62.70,1214145
10-May-17,63.18,63.31,62.30,62.52,1567116
9-May-17,64.41,65.39,62.92,63.25,2630601
8-May-17,65.19,65.68,64.61,65.43,2227730
5-May-17,65.20,65.60,64.85,65.59,978002
4-May-17,64.02,65.50,63.77,65.32,1708917
3-May-17,63.24,64.84,63.10,63.81,1614080
2-May-17,63.24,63.34,62.93,63.25,923943
1-May-17,63.45,63.52,62.94,63.02,754071
28-Apr-17,63.22,63.60,63.00,63.24,1118338
27-Apr-17,63.28,63.84,62.96,63.47,739383
26-Apr-17,63.11,63.47,63.11,63.30,883784
25-Apr-17,63.33,63.85,62.96,62.98,1097002
24-Apr-17,63.43,63.60,63.03,63.33,1140253
21-Apr-17,62.70,63.02,62.10,62.53,1381841
20-Apr-17,62.63,63.04,61.76,62.68,1307542
19-Apr-17,62.55,62.95,61.81,62.35,1193442
18-Apr-17,62.11,62.44,61.92,62.13,948068
17-Apr-17,62.07,62.48,61.94,62.41,579509
13-Apr-17,62.10,62.14,61.66,61.80,916972
12-Apr-17,62.45,62.56,61.91,61.99,936692
11-Apr-17,62.46,62.99,62.31,62.68,1112710
10-Apr-17,62.38,62.96,62.18,62.65,725078
7-Apr-17,63.09,63.30,62.37,62.46,1319095
6-Apr-17,62.05,63.15,61.88,63.04,1727195
5-Apr-17,62.06,62.99,61.84,61.99,1492269
4-Apr-17,62.54,62.64,61.53,61.78,1361377
3-Apr-17,62.47,62.85,62.17,62.64,1303419
31-Mar-17,62.26,62.70,62.18,62.44,1061380
30-Mar-17,62.66,62.94,62.37,62.65,621469
29-Mar-17,62.66,63.60,62.44,62.94,1103143
28-Mar-17,62.29,63.16,62.29,62.94,930698
27-Mar-17,62.23,62.72,61.85,62.56,953538
24-Mar-17,62.46,62.92,62.12,62.44,907640
