Date,Open,High,Low,Close,Volume
19-May-17,3.43,3.51,3.41,3.45,16499525
18-May-17,3.35,3.45,3.35,3.40,19350142
17-May-17,3.41,3.47,3.35,3.37,16566552
16-May-17,3.40,3.52,3.38,3.49,20377614
15-May-17,3.31,3.43,3.30,3.39,16077600
12-May-17,3.35,3.40,3.32,3.32,8879214
11-May-17,3.33,3.40,3.26,3.40,11306552
10-May-17,3.34,3.39,3.31,3.37,9947868
9-May-17,3.28,3.36,3.22,3.33,18887320
8-May-17,3.22,3.40,3.17,3.34,34813580
5-May-17,3.02,3.23,2.96,3.20,42217089
4-May-17,2.90,2.93,2.84,2.84,11887767
3-May-17,2.91,2.91,2.84,2.90,3128917
2-May-17,2.85,2.92,2.84,2.91,5429857
1-May-17,2.90,2.94,2.84,2.87,9310102
28-Apr-17,2.86,2.94,2.81,2.89,8827422
27-Apr-17,2.84,2.86,2.82,2.84,4550080
26-Apr-17,2.85,2.90,2.82,2.82,12697807
25-Apr-17,2.85,2.90,2.82,2.86,6989286
24-Apr-17,2.82,2.86,2.79,2.86,6127470
21-Apr-17,2.80,2.82,2.77,2.79,5321303
20-Apr-17,2.84,2.85,2.82,2.82,2892745
19-Apr-17,2.81,2.85,2.79,2.82,5771704
18-Apr-17,2.77,2.83,2.77,2.82,22883966
17-Apr-17,2.73,2.80,2.73,2.78,6556115
13-Apr-17,2.77,2.81,2.76,2.77,3045183
12-Apr-17,2.79,2.81,2.77,2.78,2942090
11-Apr-17,2.79,2.83,2.78,2.79,10170263
10-Apr-17,2.81,2.83,2.76,2.79,17655289
7-Apr-17,2.79,2.86,2.78,2.80,4012558
6-Apr-17,2.81,2.82,2.78,2.80,4623943
5-Apr-17,2.79,2.82,2.78,2.78,7753410
4-Apr-17,2.81,2.84,2.79,2.79,9823824
3-Apr-17,2.85,2.86,2.79,2.83,5268047
31-Mar-17,2.90,2.92,2.84,2.85,5421996
30-Mar-17,2.84,2.95,2.82,2.88,22847965
29-Mar-17,2.81,2.85,2.81,2.83,3889251
28-Mar-17,2.80,2.85,2.79,2.82,7217590
27-Mar-17,2.76,2.81,2.76,2.81,3034965
24-Mar-17,2.79,2.84,2.79,2.80,4035700
23-Mar-17,2.75,2.83,2.74,2.81,9012528
22-Mar-17,2.73,2.76,2.71,2.76,3275124
21-Mar-17,2.80,2.82,2.74,2.76,5687085
20-Mar-17,2.79,2.83,2.78,2.80,7977378
17-Mar-17,2.82,2.84,2.79,2.80,7240950
16-Mar-17,2.73,2.86,2.73,2.84,6819996
15-Mar-17,2.79,2.87,2.78,2.84,5601766
14-Mar-17,2.80,2.81,2.77,2.78,5267546
13-Mar-17,2.83,2.85,2.80,2.81,4669339
10-Mar-17,2.76,2.84,2.76,2.82,7077141
9-Mar-17,2.74,2.76,2.73,2.75,4066928
8-Mar-17,2.75,2.76,2.73,2.74,2558271
7-Mar-17,2.75,2.76,2.72,2.74,4019054
6-Mar-17,2.75,2.77,2.75,2.75,4051877
3-Mar-17,2.71,2.81,2.70,2.78,11338018
2-Mar-17,2.72,2.75,2.71,2.74,6781725
1-Mar-17,2.70,2.74,2.68,2.71,11395455
28-Feb-17,2.68,2.70,2.64,2.65,9373836
27-Feb-17,2.67,2.71,2.65,2.69,11509606
24-Feb-17,2.69,2.73,2.67,2.70,6418886
23-Feb-17,2.83,2.84,2.70,2.71,9845085
22-Feb-17,2.70,2.84,2.70,2.83,23266032
21-Feb-17,2.67,2.71,2.66,2.71,10078397
17-Feb-17,2.62,2.70,2.62,2.68,11927808
16-Feb-17,2.61,2.66,2.61,2.63,7154617
15-Feb-17,2.59,2.69,2.55,2.67,31620951
14-Feb-17,2.58,2.74,2.57,2.70,10346364
13-Feb-17,2.60,2.65,2.53,2.63,11192179
10-Feb-17,2.45,2.65,2.40,2.58,18771416
9-Feb-17,2.54,2.57,2.47,2.52,17413709
8-Feb-17,2.56,2.56,2.48,2.50,24982822
7-Feb-17,2.55,2.58,2.43,2.57,27674814
6-Feb-17,2.54,2.55,2.50,2.54,13943632
3-Feb-17,2.54,2.56,2.53,2.55,7479716
2-Feb-17,2.54,2.56,2.53,2.54,5993282
1-Feb-17,2.55,2.57,2.53,2.55,9094292
31-Jan-17,2.57,2.60,2.51,2.52,12791043
30-Jan-17,2.55,2.60,2.53,2.60,4880300
27-Jan-17,2.57,2.59,2.55,2.57,9792930
26-Jan-17,2.60,2.62,2.56,2.57,8609057
25-Jan-17,2.56,2.61,2.54,2.60,17657665
24-Jan-17,2.59,2.61,2.52,2.55,15117078
23-Jan-17,2.62,2.63,2.58,2.60,6818601
20-Jan-17,2.65,2.65,2.59,2.64,9480626
19-Jan-17,2.62,2.65,2.62,2.63,4169019
18-Jan-17,2.63,2.64,2.59,2.60,2644184
17-Jan-17,2.60,2.64,2.60,2.63,4165964
13-Jan-17,2.68,2.69,2.60,2.64,10329720
12-Jan-17,2.65,2.69,2.61,2.67,7578917
11-Jan-17,2.59,2.64,2.57,2.63,8814262
10-Jan-17,2.66,2.68,2.60,2.60,9396632
9-Jan-17,2.71,2.76,2.66,2.66,10599479
6-Jan-17,2.67,2.73,2.64,2.72,5996077
5-Jan-17,2.69,2.71,2.63,2.65,5955669
4-Jan-17,2.66,2.73,2.62,2.69,9611325
3-Jan-17,2.60,2.65,2.56,2.65,19617128
30-Dec-16,2.58,2.60,2.56,2.57,7396601
29-Dec-16,2.58,2.62,2.57,2.60,4748568
28-Dec-16,2.58,2.60,2.55,2.58,4177147
27-Dec-16,2.62,2.65,2.55,2.59,6829916
23-Dec-16,2.60,2.62,2.56,2.59,10794143
22-Dec-16,2.65,2.65,2.52,2.56,15014025
21-Dec-16,2.69,2.70,2.63,2.65,6430548
20-Dec-16,2.69,2.74,2.68,2.69,7547587
19-Dec-16,2.78,2.78,2.64,2.68,18371508
16-Dec-16,2.81,2.84,2.73,2.76,11893632
15-Dec-16,2.80,2.84,2.78,2.83,8374720
14-Dec-16,2.80,2.81,2.75,2.79,7833777
13-Dec-16,2.91,2.94,2.80,2.81,9293422
12-Dec-16,2.92,2.96,2.88,2.88,11856383
9-Dec-16,3.05,3.05,2.90,2.93,14950681
8-Dec-16,3.03,3.08,3.00,3.01,11846179
7-Dec-16,2.92,3.02,2.90,3.00,14023679
6-Dec-16,2.95,2.96,2.87,2.92,16161759
5-Dec-16,2.87,2.97,2.85,2.95,8295535
2-Dec-16,2.86,2.89,2.84,2.86,5178557
1-Dec-16,2.86,2.90,2.77,2.87,18944506
30-Nov-16,2.89,2.90,2.85,2.86,5403279
29-Nov-16,2.84,2.89,2.83,2.87,6355470
28-Nov-16,2.86,2.90,2.84,2.85,4424234
25-Nov-16,2.89,2.92,2.87,2.88,2215999
23-Nov-16,2.79,2.86,2.78,2.85,4364822
22-Nov-16,2.80,2.82,2.78,2.79,8286278
21-Nov-16,2.81,2.81,2.78,2.80,3858887
18-Nov-16,2.80,2.83,2.79,2.80,9686304
17-Nov-16,2.82,2.84,2.80,2.80,7427372
16-Nov-16,2.80,2.84,2.78,2.81,18142086
15-Nov-16,2.85,2.93,2.84,2.85,10524787
14-Nov-16,2.88,2.92,2.85,2.85,7665642
11-Nov-16,2.78,2.90,2.75,2.89,7992508
10-Nov-16,2.81,2.86,2.75,2.80,8031976
9-Nov-16,2.85,2.88,2.76,2.82,12526655
8-Nov-16,2.73,2.90,2.71,2.88,19098047
7-Nov-16,2.76,2.83,2.71,2.73,13867466
4-Nov-16,2.74,2.81,2.72,2.73,11180450
3-Nov-16,2.71,2.86,2.70,2.76,22734257
2-Nov-16,2.80,2.84,2.70,2.74,19968016
1-Nov-16,2.81,2.89,2.77,2.80,8512203
31-Oct-16,2.82,2.83,2.76,2.81,5711355
28-Oct-16,2.79,2.84,2.77,2.82,13067468
27-Oct-16,2.82,2.85,2.78,2.78,8938964
26-Oct-16,2.90,2.90,2.80,2.82,8227155
25-Oct-16,2.94,2.96,2.91,2.91,4076400
24-Oct-16,2.90,2.94,2.89,2.94,6183042
21-Oct-16,2.89,2.92,2.86,2.88,3306697
20-Oct-16,2.87,2.92,2.86,2.91,11602884
19-Oct-16,2.82,2.89,2.82,2.88,8765622
18-Oct-16,2.83,2.88,2.81,2.82,13739609
17-Oct-16,2.78,2.85,2.78,2.78,11591975
14-Oct-16,2.91,2.95,2.84,2.85,22926493
13-Oct-16,2.91,2.94,2.85,2.90,13474904
12-Oct-16,2.90,2.97,2.86,2.94,16382507
11-Oct-16,2.92,2.96,2.84,2.89,23665834
10-Oct-16,2.95,3.04,2.94,3.01,17302065
7-Oct-16,2.93,2.95,2.87,2.94,12856141
6-Oct-16,2.98,2.99,2.91,2.92,11588614
5-Oct-16,2.90,3.02,2.88,2.97,19896241
4-Oct-16,2.85,2.92,2.85,2.89,12449739
