,Ticker,Spent,Profit,Percent,K
0, ATVI,  71.144,  11.136,  15.653, 1.2
1, ADBE,   0.000,   0.000,   0.000, 1.2
2, AKAM, 110.757,   0.496,   0.448, 1.2
3, ALXN, 272.613, -15.025,  -5.512, 1.2
4, GOOG, 711.164,  72.056,  10.132, 1.2
5,GOOGL, 731.109,  70.081,   9.586, 1.2
6, AMZN, 558.055,  72.945,  13.071, 1.2
7,  AAL,  39.981,  -1.331,  -3.330, 1.2
8, AMGN, 305.790,  22.630,   7.401, 1.2
9,  ADI,  52.540,   7.100,  13.514, 1.2
10, AAPL,  98.287,   9.443,   9.608, 1.2
11, AMAT,   0.000,   0.000,   0.000, 1.2
12, ADSK,  50.756,   7.664,  15.100, 1.2
13,  ADP, 171.096,  14.564,   8.512, 1.2
14, BIDU, 515.214,  55.646,  10.801, 1.2
15, BIIB, 549.216,  54.530,   9.929, 1.2
16, BMRN, 168.177,  16.313,   9.700, 1.2
17, AVGO, 135.096,  24.384,  18.049, 1.2
18,   CA,  60.442,   2.684,   4.441, 1.2
19, CELG, 102.523,  11.487,  11.205, 1.2
20, CERN, 112.096,   9.594,   8.559, 1.2
21, CHKP, 162.188,   9.222,   5.686, 1.2
22, CTAS,  85.153,   4.307,   5.058, 1.2
23, CSCO,  25.308,   2.592,  10.244, 1.2
24, CTXS,  34.904,   5.496,  15.745, 1.2
25, CTSH,  57.768,   1.732,   2.999, 1.2
26,CMCSA,  28.533,   2.447,   8.578, 1.2
27, COST, 305.679,  25.181,   8.238, 1.2
28,  CSX,  23.996,   2.784,  11.603, 1.2
29, CTRP,  43.962,   3.548,   8.071, 1.2
30, XRAY,  60.585,   2.355,   3.887, 1.2
31,DISCA,  54.242,   2.708,   4.992, 1.2
32,DISCK,  52.368,   1.572,   3.001, 1.2
33, DISH,  47.784,   4.006,   8.383, 1.2
34, DLTR,  84.050,   0.000,   0.000, 1.2
35, EBAY,  24.237,   6.713,  27.696, 1.2
36,   EA,  63.549,  13.201,  20.774, 1.2
37, EXPE, 105.578,   5.782,   5.477, 1.2
38, ESRX, 145.946,   4.623,   3.168, 1.2
39,   FB, 120.318,  10.002,   8.313, 1.2
40, FAST,  43.478,   4.852,  11.159, 1.2
41, FISV, 101.099,   5.181,   5.124, 1.2
42, GILD,  89.342,   0.000,   0.000, 1.2
43,  HAS, 154.303,  10.437,   6.764, 1.2
44, HSIC, 166.285,   4.965,   2.986, 1.2
45, HOLX,  34.743,   3.637,  10.468, 1.2
46, IDXX,   0.000,   0.000,   0.000, 1.2
47, ILMN, 308.968,  28.032,   9.073, 1.2
48, INCY,  73.669,  10.081,  13.684, 1.2
49, INTC,  97.377,   3.800,   3.902, 1.2
50, INTU,  95.678,   8.332,   8.708, 1.2
51, ISRG, 655.357,  79.993,  12.206, 1.2
52, JBHT, 244.673,  20.848,   8.521, 1.2
53,   JD,  25.993,   1.407,   5.414, 1.2
54, KLAC,  70.339,   4.771,   6.783, 1.2
55, LRCX,  71.256,   9.964,  13.984, 1.2
56,LBTYA,  35.504,   0.006,   0.018, 1.2
57,LBTYK,  34.476,   0.314,   0.912, 1.2
